Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV
1148,-73.3596244285328,-73.3950272291812,-73.4341968977084,-73.3950117332684,-73.4235557237665,-73.4570191962664,-73.4341697018241,-73.457008718146,-73.4849512228353,-0.0128816124934689,-0.00618378533466986,0.001226692491823,-0.00618671699438575,-0.000786502564970159,0.00554442462670863,0.00122154732424176,0.00554244227948647,0.0108288620927103
1150,-73.3460313560212,-73.3814629708689,-73.4206691847527,-73.3814474821446,-73.4100156760906,-73.4435124496482,-73.4206419997585,-73.4435019801139,-73.4714745947237,-0.0128933868282371,-0.00619010833439977,0.00122728347806076,-0.00619303863425509,-0.000788245173249614,0.00554898221778057,0.00122214037056204,0.00554700149489723,0.0108391177791545
1152,-73.3324294141598,-73.3678886816572,-73.4071300762149,-73.3678731995557,-73.3964646413134,-73.429993512879,-73.4071029010157,-73.4299830512552,-73.4579847307536,-0.0129047158098699,-0.00619620573334526,0.00122784188157888,-0.00619913478027751,-0.000789943083370091,0.00555335690189208,0.00122270062737442,0.00555137767606132,0.0108489927222129
1154,-73.3188189825174,-73.3543047619406,-73.3935799966254,-73.3542892859693,-73.382903036931,-73.4164628245532,-73.3935528302636,-73.4164523702347,-73.4444820877305,-0.0129156073387981,-0.00620208149255498,0.00122836830855725,-0.00620500937973238,-0.000791597023038964,0.00555755194692486,0.00122322872624042,0.00555557410310412,0.0108584936352461
1156,-73.3052004332232,-73.3407116044269,-73.3800193625359,-73.3406961341592,-73.369331272547,-73.4029208151175,-73.3799922041803,-73.4029103675652,-73.4309671140831,-0.0129260692154146,-0.00620773951804588,0.00122886336279741,-0.00621066632629819,-0.00079320769831202,0.00556157058376926,0.00122372529519407,0.00555959402014106,0.0108676271525139
1158,-73.2915741310447,-73.3271095942183,-73.366448582603,-73.3270941292896,-73.355749749954,-73.3893679069537,-73.3664214315384,-73.3893574656888,-73.4174402499523,-0.0129361091491168,-0.0062131836734616,0.00122932763785169,-0.00621610947130033,-0.000794775817966208,0.00556541600413593,0.0012241909495014,0.00556344062992636,0.0108763998235743
1160,-73.2779404334688,-73.3134991088975,-73.352868057678,-73.3134836489983,-73.3421588632246,-73.375804514474,-73.3528409132969,-73.3757940790733,-73.4039019272897,-0.0129457347547748,-0.00621841777114756,0.00122976172235598,-0.00622134261718979,-0.00079630207396515,0.00556909136270727,0.00122462629927287,0.00556711709787694,0.010884818121394
1162,-73.2642996907792,-73.2998805186071,-73.3392781808927,-73.2998650634786,-73.3285589987928,-73.3622310442058,-73.3392510426829,-73.3622206142973,-73.3903525699454,-0.0129549535559934,-0.00622344557811387,0.00123016620012555,-0.00622636952154982,-0.000797787151382267,0.00557259977681387,0.00122503194461072,0.00557062655105914,0.0108928884398651
1164,-73.2506522461342,-73.2862541861303,-73.3256793377433,-73.2862387355607,-73.3149505355396,-73.3486478948815,-73.3256522052826,-73.3486374701399,-73.3767925937623,-0.0129637729843411,-0.00622827081226785,0.0012305416490227,-0.00623119389310567,-0.000799231721872438,0.00557594432797768,0.00122540848139788,0.00557397207992752,0.0109006170995191
1166,-73.2369984356428,-73.2726204669707,-73.3120719061736,-73.2726050207903,-73.3013338448741,-73.3350554575223,-73.3120447791204,-73.3350450376651,-73.3632224066628,-0.0129722003845328,-0.00623289714945036,0.00123088863943866,-0.00623581939971324,-0.000800636452547073,0.00557912806052318,0.00122575649430486,0.0055771567367623,0.0109080103416316
1168,-73.2233385884391,-73.2589797094307,-73.2984562566556,-73.2589642675084,-73.2877092908148,-73.3214541155237,-73.2984291347447,-73.3214437003077,-73.349642408737,-0.0129802430121412,-0.00623732821848928,0.00123120773530724,-0.00624024966341416,-0.000802001999146676,0.00558215398474652,0.00122607656332782,0.00558018353907558,0.0109150743347408
1170,-73.209673026757,-73.2453322546873,-73.2848327522748,-73.2453168169278,-73.2740772300698,-73.3078442447398,-73.2848056353074,-73.3078338339577,-73.3360529923295,-0.0129879080367426,-0.00624156760631093,0.00123149949723244,-0.00624448826364188,-0.000803329009321637,0.00558502507654792,0.00122636926062022,0.00558305546973915,0.0109218151732007
1172,-73.1960020660027,-73.2316784368698,-73.2712017488064,-73.2316630032094,-73.2604380121161,-73.2942262135635,-73.2711746366462,-73.2942158070406,-73.3224545421261,-0.0129952025424418,-0.0062456188524976,0.00123176447655672,-0.00624853873398044,-0.000804618119806347,0.00558774427349969,0.00122663514947137,0.00558577547217312,0.010928238880476
1174,-73.1823260148278,-73.2180185831346,-73.2575635947965,-73.2180031535387,-73.2467919792764,-73.2806003830101,-73.2575364873632,-73.2805899806031,-73.3088474352371,-0.0130021335291943,-0.0062494854584449,0.00123200322258212,-0.00625240457096679,-0.000805869962536603,0.00559031448469873,0.00122687478989886,0.00558834646224205,0.0109343514074157
1176,-73.1686451751977,-73.204353013738,-73.2439186316377,-73.2043375881983,-73.2331394667959,-73.2669671067962,-73.2438915289022,-73.2669567083882,-73.2952320412797,-0.013008707915024,-0.0062531708810481,0.00123221627608487,-0.00625608922584543,-0.000807085158740001,0.00559273858258229,0.00122708873212633,0.00559077131668939,0.0109401586353447
1178,-73.1549598424621,-73.1906820421102,-73.2302671936457,-73.1906666206421,-73.2194808029182,-73.2533267314175,-73.2302400956249,-73.2533163369175,-73.2816087224606,-0.0130149325360282,-0.00625667853251367,0.00123240417054208,-0.00625959610684489,-0.00080826432136009,0.0055950194065287,0.00122727751864658,0.00559305288026277,0.0109456663769466
1180,-73.1412703054256,-73.1770059749256,-73.2166096081378,-73.1769905575661,-73.2058163089605,-73.2396795962267,-73.216582514891,-73.2396692055656,-73.2679778336565,-0.0130208141482346,-0.00626001179242831,0.00123256743969015,-0.00626292858924411,-0.000809408055489901,0.00559715976428639,0.00122744169077673,0.00559519396410221,0.0109508803753795
1182,-73.1275768464124,-73.163325112173,-73.2029461955051,-73.1633096989779,-73.1921462993861,-73.2260260335129,-73.2029191071294,-73.2260156466431,-73.254339722495,-0.0130263594286118,-0.00626317399577581,0.00123270660851284,-0.00626609000471888,-0.000810516956766923,0.00559916243260428,0.0012275817813468,0.00559719734968707,0.0109558063100226
1184,-73.1138797413336,-73.1496397472271,-73.1892772692833,-73.1496243382699,-73.1784710818756,-73.2123663685725,-73.1892501859099,-73.2123559854654,-73.2406947294293,-0.0130315749772922,-0.00626616843714078,0.00123282219429322,-0.00626908364460515,-0.000811591615027986,0.00560103015431368,0.00122769831312483,0.00559906578324963,0.0109604497912421
1186,-73.1001792597549,-73.1359501669162,-73.1756031362284,-73.1359347622863,-73.1647909573988,-73.1987009197852,-73.1755760580195,-73.198690540429,-73.2270431878171,-0.0130364673157793,-0.00626899837428841,0.00123291471178678,-0.00627191276306536,-0.000812632610583314,0.00560276564190362,0.00122779180788478,0.00560080198048672,0.0109648163656495
1188,-73.0864756649576,-73.1222566515894,-73.1619240963846,-73.1222412513901,-73.1511062202845,-73.1850299986882,-73.1618970235296,-73.1850196230869,-73.2133854239968,-0.013041042892037,-0.0062716670218648,0.00123298466612381,-0.00627458057253451,-0.000813640519110223,0.00560437157779415,0.00122786277463841,0.00560240862666229,0.0109689115146757
1190,-73.0727692140046,-73.1085594751838,-73.1482404431568,-73.1085440795299,-73.137417158289,-73.1713539100464,-73.1482133758702,-73.1713435382184,-73.1997217573618,-0.0130453080784896,-0.00627417756484883,0.00123303256324766,-0.00627709025556812,-0.000814615903307771,0.00560585061313149,0.0012279117252954,0.00560388837585741,0.0109727406588845
1192,-73.0590601578017,-73.0948589052878,-73.1345524633782,-73.0948435143061,-73.1237240526659,-73.1576729519248,-73.1345254018963,-73.1576625839003,-73.1860525004346,-0.013049269175199,-0.00627653314372033,0.00123305889780801,-0.00627944495048922,-0.000815559324288046,0.00560720537051469,0.00122793915810114,0.00560524385271566,0.0109763091548765
1194,-73.0453487411584,-73.0811552032073,-73.1208604373784,-73.0811398170337,-73.110027178231,-73.1439874157565,-73.1208333819565,-73.143977051578,-73.1723779589383,-0.0130529324101711,-0.00627873686618308,0.00123306416300737,-0.00628164776338725,-0.000816471332058759,0.00560843844247613,0.00122794556991145,0.0056064776523332,0.010979622299512
1196,-73.0316352028497,-73.067448624028,-73.1071646390491,-73.0674332428069,-73.0963268034267,-73.1302975864131,-73.1071375899599,-73.1302872261331,-73.1586984318679,-0.0130563039397861,-0.00628079180433233,0.00123304884652148,-0.00628370176457326,-0.000817352469230522,0.00560955239366427,0.00122793145146402,0.00560759234107387,0.0109826853287336
